,id,sha,source,title,doi,pmcid,pubmed_id,license,summary,published,author,journal,Microsoft Academic Paper ID,WHO #Covidence,arxiv_id,has_pdf_parse,has_pmc_xml_parse,full_text_file,url,paper_type
37906,nu0pn2q8,474df1cb1f7ee228d08051e315bf81efe4fddc17,medrxiv,COVID-19 Outbreak Prediction with Machine Learning,10.1101/2020.04.17.20070094,,,medrvix,"Several outbreak prediction models for COVID-19 are being used by officials around the world to make informed-decisions and enforce relevant control measures. Among the standard models for COVID-19 global pandemic prediction, simple epidemiological and statistical models have received more attention by authorities, and they are popular in the media. Due to a high level of uncertainty and lack of essential data, standard models have shown low accuracy for long-term prediction. Although the literature includes several attempts to address this issue, the essential generalization and robustness abilities of existing models needs to be improved. This paper presents a comparative analysis of machine learning and soft computing models to predict the COVID-19 outbreak. Among a wide range of machine learning models investigated, two models showed promising results (i.e., multi-layered perceptron, MLP, and adaptive network-based fuzzy inference system, ANFIS). Based on the results reported here, and due to the highly complex nature of the COVID-19 outbreak and variation in its behavior from nation-to-nation, this study suggests machine learning as an effective tool to model the outbreak.",2020-04-22,Sina F. Ardabili; Amir MOSAVI; Pedram Ghamisi; Filip Ferdinand; Annamaria R. Varkonyi-Koczy; Uwe Reuter; Timon Rabczuk; Peter M. Atkinson,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.17.20070094,AI
37908,h899xkfy,84faeba359771bd005adad2584e143f8daba1edf,medrxiv,From Community Acquired Pneumonia to COVID-19: A Deep Learning Based Method for Quantitative Analysis of COVID-19 on thick-section CT Scans,10.1101/2020.04.17.20070219,,,medrvix,"Background: Thick-section CT scanners are more affordable for the developing countries. Considering the widely spread COVID-19, it is of great benefit to develop an automated and accurate system for quantification of COVID-19 associated lung abnormalities using thick-section chest CT images. Purpose: To develop a fully automated AI system to quantitatively assess the disease severity and disease progression using thick-section chest CT images. Materials and Methods: In this retrospective study, a deep learning based system was developed to automatically segment and quantify the COVID-19 infected lung regions on thick-section chest CT images. 531 thick-section CT scans from 204 patients diagnosed with COVID-19 were collected from one appointed COVID-19 hospital from 23 January 2020 to 12 February 2020. The lung abnormalities were first segmented by a deep learning model. To assess the disease severity (non-severe or severe) and the progression, two imaging bio-markers were automatically computed, i.e., the portion of infection (POI) and the average infection HU (iHU). The performance of lung abnormality segmentation was examined using Dice coefficient, while the assessment of disease severity and the disease progression were evaluated using the area under the receiver operating characteristic curve (AUC) and the Cohen's kappa statistic, respectively. Results: Dice coefficient between the segmentation of the AI system and the manual delineations of two experienced radiologists for the COVID-19 infected lung abnormalities were 0.74 ± 0.28 and 0.76 ± 0.29, respectively, which were close to the inter-observer agreement, i.e., 0.79 ± 0.25. The computed two imaging bio-markers can distinguish between the severe and non-severe stages with an AUC of 0.9680 (p-value < 0.001). Very good agreement (κ = 0.8220) between the AI system and the radiologists were achieved on evaluating the changes of infection volumes. Conclusions: A deep learning based AI system built on the thick-section CT imaging can accurately quantify the COVID-19 associated lung abnormalities, assess the disease severity and its progressions.",2020-04-23,Zhang Li; Zheng Zhong; Yang Li; Tianyu Zhang; Liangxin Gao; Dakai Jin; Yue Sun; Xianghua Ye; Li Yu; Zheyu Hu; Jing Xiao; Lingyun Huang; Yuling Tang,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.17.20070219,AI
37946,pjdlzsz7,c7808a1271607eacda1b26ebb24ffc2ccdba7c7b,medrxiv,Augmented Curation of Unstructured Clinical Notes from a Massive EHR System Reveals Specific Phenotypic Signature of Impending COVID-19 Diagnosis,10.1101/2020.04.19.20067660,,,medrvix,"Understanding the temporal dynamics of COVID-19 patient phenotypes is necessary to derive fine-grained resolution of the pathophysiology. Here we use state-of-the-art deep neural networks over an institution-wide machine intelligence platform for the augmented curation of 8.2 million clinical notes from 14,967 patients subjected to COVID-19 PCR diagnostic testing. By contrasting the Electronic Health Record (EHR)-derived clinical phenotypes of COVID-19-positive (COVIDpos, n=272) versus COVID-19-negative (COVIDneg, n=14,695) patients over each day of the week preceding the PCR testing date, we identify diarrhea (2.8-fold), change in appetite (2-fold), anosmia/dysgeusia (28.6-fold), and respiratory failure (2.1-fold) as significantly amplified in COVIDpos over COVIDneg patients. The specific combination of cough and diarrhea has a 4-fold amplification in COVIDpos patients during the week prior to PCR testing, and along with anosmia/dysgeusia, constitutes the earliest EHR-derived signature of COVID-19 (4-7 days prior to typical PCR testing date). This study introduces an Augmented Intelligence platform for the real-time synthesis of institutional knowledge captured in EHRs. The platform holds tremendous potential for scaling up curation throughput, with minimal need for training underlying neural networks, thus promising EHR-powered early diagnosis for a broad spectrum of diseases.",2020-04-23,FNU Shweta; Karthik Murugadoss; Samir Awasthi; AJ Venkatakrishnan; Arjun Puranik; Martin Kang; Brian W Pickering; John C O'Horo; Philippe R Bauer; Raymund R Razonable; Paschalis Vergidis; Zelalem Temesgen; Stacey Rizza; Maryam Mahmood; Walter R Wilson; Douglas Challener; Praveen Anand; Matt Liebers; Zainab Doctor; Eli Silvert; Hugo Solomon; Tyler Wagner; Gregory J Gores; Amy W Williams; John Halamka; Venky Soundararajan; Andrew D Badley,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.19.20067660,AI
37948,pwtq48bk,9c1c3838528abf2f5efcefb5a18078c35e684f2a,medrxiv,COVID-19 Asymptomatic Infection Estimation,10.1101/2020.04.19.20068072,,,medrvix,"Background: Mounting evidence suggests that there is an undetected pool of COVID-19 asymptomatic but infectious cases. Estimating the number of asymptomatic infections has been crucial to understand the virus and contain its spread, which is, however, hard to be accurately counted. Methods: We propose an approach of machine learning based fine-grained simulator (MLSim), which integrates multiple practical factors including disease progress in the incubation period, cross-region population movement, undetected asymptomatic patients, and prevention and containment strength. The interactions among these factors are modeled by virtual transmission dynamics with several undetermined parameters, which are determined from epidemic data by machine learning techniques. When MLSim learns to match the real data closely, it also models the number of asymptomatic patients. MLSim is learned from the open Chinese global epidemic data. Findings: MLSim showed better forecast accuracy than the SEIR and LSTM-based prediction models. The MLSim learned from the data of China's mainland reveals that there could have been 150,408 (142,178-157,417) asymptomatic and had self-healed patients, which is 65% (64% - 65%) of the inferred total infections including undetected ones. The numbers of asymptomatic but infectious patients on April 15, 2020, were inferred as, Italy: 41,387 (29,037 - 57,151), Germany: 21,118 (11,484 - 41,646), USA: 354,657 (277,641 - 495,128), France: 40,379 (10,807 - 186,878), and UK: 144,424 (127,215 - 171,930). To control the virus transmission, the containment measures taken by the government were crucial. The learned MLSim also reveals that if the date of containment measures in China's mainland was postponed for 1, 3, 5, and 7 days later than Jan. 23, there would be 109,039 (129%), 183,930 (218%), 313,342 (371%), 537,555 (637%) confirmed cases on June 12. Conclusions: Machine learning based fine-grained simulators can better model the complex real-world disease transmission process, and thus can help decision-making of balanced containment measures. The simulator also revealed the potential great number of undetected asymptomatic infections, which poses a great risk to the virus containment.",2020-04-23,Yang Yu; Yu-Ren Liu; Fan-Ming Luo; Wei-Wei Tu; De-Chuan Zhan; Guo Yu; Zhi-Hua Zhou,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.19.20068072,AI
37950,8f1arjw1,093f5e50c94e68e70f572e931ae3b7e0fa352f8c,medrxiv,A Chronological and Geographical Analysis of Personal Reports of COVID-19 on Twitter,10.1101/2020.04.19.20069948,,,medrvix,"The rapidly evolving outbreak of COVID-19 presents challenges for actively monitoring its spread. In this study, we assessed a social media mining approach for automatically analyzing the chronological and geographical distribution of users in the United States reporting personal information related to COVID-19 on Twitter. The results suggest that our natural language processing and machine learning framework could help provide an early indication of the spread of COVID-19.",2020-04-22,Ari Klein; Arjun Magge; Karen O'Connor; Haitao Cai; Davy Weissenbacher; Graciela Gonzalez-Hernandez,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.19.20069948,AI
37987,x8jytnj6,6d6cfb3d8eefc32d5f0e7155db8d65d55969b582,biorxiv,Leverging Deep Learning to Simulate Coronavirus Spike proteins has the potential to predict future Zoonotic sequences,10.1101/2020.04.20.046920,,,biorxiv,"Motivation: Coronaviridae are a family of positive-sense RNA viruses capable of infecting humans and animals. These viruses usually cause a mild to moderate upper respiratory tract infection, however, they can also cause more severe symptoms, gastrointestinal and central nervous system diseases. These viruses are capable of flexibly adapting to new environments, hence health threats from coronavirus are constant and long-term. Immunogenic spike proteins are glyco-proteins found on the surface of Coronaviridae particles that mediate entry to host cells. The aim of this study was to train deep learning neural networks to produce simulated spike protein sequences, which may be able to aid in knowledge and/or vaccine design by creating alternative possible spike sequences that could arise from zoonotic sources in future. Results: Here we have trained deep learning recurrent neural networks (RNN) to provide computer simulated coronavirus spike protein sequences in the style of previously known sequences and examine their characteristics. Training used a dataset of alpha, beta, gamma and delta coronavirus spike sequences. In a test set of 100 simulated sequences, all 100 had most significant BLAST matches to Spike proteins in searches against NCBI non-redundant dataset (NR) and also possessed concomitant Pfam domain matches. Conclusions: Simulated sequences from the neural network may be able to guide us in future with prospective targets for vaccine discovery in advance of a potential novel zoonosis. We may effectively be able to fast-forward through evolution using neural networks to investigate sequences that could arise.",2020-04-20,Lisa Caroline Crossman,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.20.046920,AI
37996,sy3n8v7f,66188747fe0c5c001459e627f49a1e26d0aee012,biorxiv,Deep learning model can predict water binding sites on the surface of proteins using limited-resolution data,10.1101/2020.04.20.050393,,,biorxiv,"The surfaces of proteins are generally hydrophilic but there have been reports of sites that exhibit an exceptionally high affinity for individual water molecules. Not only do such molecules often fulfil critical biological functions, but also, they may alter the binding of newly designed drugs. In crystal structures, sites consistently occupied in each unit cell yield electron density clouds that represent water molecule presence. These are recorded in virtually all high-resolution structures obtained through X-ray diffraction. In this work, we utilized the wealth of data from the RCSB Protein Data Bank to train a residual deep learning model named ′hotWater′ to identify sites on the surface of proteins that are most likely to bind water, the so-called water hot spots. The model can be used to score existing water molecules from a PDB file to provide their ranking according to the predicted binding strength or to scan the surface of a protein to determine the most likely water hot spots de novo. This is computationally much more efficient than currently used molecular dynamics simulations. Based on testing the model on three example proteins, which have been resolved using both high-resolution X-ray crystallography (providing accurate positions of trapped waters) as well as low-resolution X-ray diffraction, NMR or CryoEM (where structure refinement does not yield water positions), we were able to show that the hotWater method is able to recover in the ″water-free″ structures many water binding sites known from the high-resolution structures. A blind test on a newly solved protein structure with waters removed from the PDB also showed good prediction of the crystal water positions. This was compared to two known algorithms that use electron density and was shown to have higher recall at resolutions >2.6Å. We also show that the algorithm can be applied to novel proteins such as the RNA polymerase complex from SARS-CoV-2, which could be of use in drug discovery. The hotWater model is freely available at (https://pypi.org/project/hotWater/).",2020-04-21,Jan Zaucha; Charlotte A. Softley; Michael Sattler; Grzegorz M. Popowicz,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.20.050393,AI
38064,cm30gyd8,ac83f76d6881595866f9c9c9a7fbb745b2ae7bea,biorxiv,Artificial intelligence predicts the immunogenic landscape of SARS-CoV-2: toward universal blueprints for vaccine designs,10.1101/2020.04.21.052084,,,biorxiv,"The global population is at present suffering from a pandemic of Coronavirus disease 2019 (COVID-19), caused by the novel coronavirus Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). The goals of this study were to use artificial intelligence (AI) to predict blueprints for designing universal vaccines against SARS-CoV-2, that contain a sufficiently broad repertoire of T-cell epitopes capable of providing coverage and protection across the global population. To help achieve these aims, we profiled the entire SARS-CoV-2 proteome across the most frequent 100 HLA-A, HLA-B and HLA-DR alleles in the human population, using host-infected cell surface antigen presentation and immunogenicity predictors from the NEC Immune Profiler suite of tools, and generated comprehensive epitope maps. We then used these epitope maps as input for a Monte Carlo simulation designed to identify statistically significant epitope hotspot regions in the virus that are most likely to be immunogenic across a broad spectrum of HLA types. We then removed epitope hotspots that shared significant homology with proteins in the human proteome to reduce the chance of inducing off-target autoimmune responses. We also analyzed the antigen presentation and immunogenic landscape of all the nonsynonymous mutations across 3400 different sequences of the virus, to identify a trend whereby SARS-COV-2 mutations are predicted to have reduced potential to be presented by host-infected cells, and consequently detected by the host immune system. A sequence conservation analysis then removed epitope hotspots that occurred in less-conserved regions of the viral proteome. Finally, we used a database of the HLA genotypes of approximately 22 000 individuals to develop a digital twin type simulation to model how effective different combinations of hotspots would work in a diverse human population, and used the approach to identify an optimal constellation of epitopes hotspots that could provide maximum coverage in the global population. By combining the antigen presentation to the infected-host cell surface and immunogenicity predictions of the NEC Immune Profiler with a robust Monte Carlo and digital twin simulation, we have managed to profile the entire SARS-CoV-2 proteome and identify a subset of epitope hotspots that could be harnessed in a vaccine formulation to provide a broad coverage across the global population.",2020-04-21,Brandon Malone; Boris Simovski; Clement Moline; Jun Cheng; Marius Gheorghe; Hugues Fontenelle; Ioannis Vardaxis; Simen Tennoe; Jenny-Ann Malmberg; Richard Stratford; Trevor Clancy,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.21.052084,AI
38079,27f9241x,e2a38f014b00c308394eb30c756e895a4cce4f9f,biorxiv,Identification of potential treatments for COVID-19 through artificial intelligence-enabled phenomic analysis of human cells infected with SARS-CoV-2,10.1101/2020.04.21.054387,,,biorxiv,"AbstractTo identify potential therapeutic stop-gaps for SARS-CoV-2, we evaluated a library of 1,670 approved and reference compounds in an unbiased, cellular image-based screen for their ability to suppress the broad impacts of the SARS-CoV-2 virus on phenomic profiles of human renal cortical epithelial cells using deep learning. In our assay, remdesivir is the only antiviral tested with strong efficacy, neither chloroquine nor hydroxychloroquine have any beneficial effect in this human cell model, and a small number of compounds not currently being pursued clinically for SARS-CoV-2 have efficacy. We observed weak but beneficial class effects of β-blockers, mTOR/PI3K inhibitors and Vitamin D analogues and a mild amplification of the viral phenotype with β-agonists.",2020-04-23,Katie Heiser; Peter F. McLean; Chadwick T. Davis; Ben Fogelson; Hannah B. Gordon; Pamela Jacobson; Brett Hurst; Ben Miller; Ronald W. Alfa; Berton A. Earnshaw; Mason L. Victors; Yolanda T. Chong; Imran S. Haque; Adeline S. Low; Christopher C. Gibson,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.21.054387,AI
38082,0aocxz3s,b1bae9b91f833943e31e9a729716bae2e9135abf,medrxiv,A web-based Diagnostic Tool for COVID-19 Using Machine Learning on Chest Radiographs (CXR),10.1101/2020.04.21.20063263,,,medrvix,"This paper reports the development and web deployment of an inference model for Coronavirus COVID-19 using machine vision on chest radiographs (CXR). The transfer learning from the Residual Network (RESNET-50) was leveraged for model development on CXR images from healthy individuals, bacterial and viral pneumonia, and COVID-19 positives patients. The performance metrics showed an accuracy of 99%, a recall valued of 99.8%, a precision of 99% and an F1 score of 99.8% for COVID-19 inference. The model was further successfully validated on CXR images from an independent repository. The implemented model was deployed with a web graphical user interface for inference (https://medics-inference.onrender.com ) for the medical research community; an associated cron job is scheduled to continue the learning process when novel and validated information becomes available",2020-04-24,Evariste Bosco Gueguim Kana; Martiale Gaetan Zebaze Kana; Armand F. Donfack Kana; Roussel Hardo Azanfack Kenfack,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.21.20063263,AI
38091,3vehy1ry,51bd68c57e40e95fbc2c56cf64cf38d238825557,medrxiv,Research on CNN-based Models Optimized by Genetic Algorithm and Application in the Diagnosis of Pneumonia and COVID-19,10.1101/2020.04.21.20072637,,,medrvix,"In this research, an optimized deep learning method was proposed to explore the possibility and practicality of neural net-work applications in medical imaging. The method was used to achieve the goal of judging common pneumonia and even COVID-19 more effectively. Where, the genetic algorithm was taken advantage to optimize the Dropout module, which is essential in neural networks so as to improve the performance of typical neural network models. The experiment results demonstrate that the proposed method shows excellent performance and strong practicability in judging pneumonia, and the application of advanced artificial intelligence technology in the field of medical imaging has broad prospects.",2020-04-26,Zihan Zeng; Bo Wang; Zhiwen Zhao,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.21.20072637,AI
38124,5n06yw6h,896eb4c68a03500f17b813eac405759ff16ba96d,biorxiv,Deep Sentiment Classification and Topic Discovery on Novel Coronavirus or COVID-19 Online Discussions: NLP Using LSTM Recurrent Neural Network Approach,10.1101/2020.04.22.054973,,,biorxiv,"AbstractInternet forums and public social media, such as online healthcare forums, provide a convenient channel for users (people/patients) concerned about health issues to discuss and share information with each other. In late December 2019, an outbreak of a novel coronavirus (infection from which results in the disease named COVID-19) was reported, and, due to the rapid spread of the virus in other parts of the world, the World Health Organization declared a state of emergency. In this paper, we used automated extraction of COVID-19–related discussions from social media and a natural language process (NLP) method based on topic modeling to uncover various issues related to COVID-19 from public opinions. Moreover, we also investigate how to use LSTM recurrent neural network for sentiment classification of COVID-19 comments. Our findings shed light on the importance of using public opinions and suitable computational techniques to understand issues surrounding COVID-19 and to guide related decision-making.",2020-04-24,Hamed Jelodar; Yongli Wang; Rita Orji; Hucheng Huang,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.22.054973,AI
38127,nj72hdo2,616dc8d92a5ab06f39846d8d9ba0b2cc38d8bb2d,biorxiv,Prediction of novel virus–host interactions by integrating clinical symptoms and protein sequences,10.1101/2020.04.22.055095,,,biorxiv,"AbstractMotivationInfectious diseases from novel viruses are becoming a major public health concern. Fast identification of virus–host interactions can reveal mechanistic insights of infectious diseases and shed light on potential treatments and drug discoveries. Current computational prediction methods for novel viruses are based only on protein sequences. Yet, it is not clear to what extent other important features, such as the symptoms caused by the viruses, could contribute to a predictor. Disease phenotypes (i.e., symptoms) are readily accessible from clinical diagnosis and we hypothesize that they may act as a potential proxy and an additional source of information for the underlying molecular interactions between the pathogens and hosts.ResultsWe developed DeepViral, a deep learning method that predicts potential protein–protein interactions between human and viruses. First, human proteins and viruses were embedded in a shared space using their associated phenotypes, functions, taxonomic classification, as well as formalized background knowledge from biomedical ontologies. By extending a sequence learning model with phenotype features, our model can not only significantly improve over previous sequence-based approaches for inter-species interaction prediction, but also identify pathways of viral targets under a realistic experimental setup for novel viruses.Availabilityhttps://github.com/bio-ontology-research-group/DeepViralContactrobert.hoehndorf@kaust.edu.sa",2020-04-25,Wang Liu-Wei; Şenay Kafkas; Jun Chen; Jesper Tegnér; Robert Hoehndorf,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.22.055095,AI
38158,mlitd45q,09f3144f05154641140f58f9c803f8c946414741,medrxiv,Detection of COVID-19 Infection from Routine Blood Exams with Machine Learning: a Feasibility Study,10.1101/2020.04.22.20075143,,,medrvix,"Background - The COVID-19 pandemia due to the SARS-CoV-2 coronavirus, in its first 4 months since its outbreak, has to date reached more than 200 countries worldwide with more than 2 million confirmed cases (probably a much higher number of infected), and almost 200,000 deaths. Amplification of viral RNA by (real time) reverse transcription polymerase chain reaction (rRT-PCR) is the current gold standard test for confirmation of infection, although it presents known shortcomings: long turnaround times (3-4 hours to generate results), potential shortage of reagents, false-negative rates as large as 15-20%, the need for certified laboratories, expensive equipment and trained personnel. Thus there is a need for alternative, faster, less expensive and more accessible tests. Material and methods - We developed two machine learning classification models using hematochemical values from routine blood exams (namely: white blood cells counts, and the platelets, CRP, AST, ALT, GGT, ALP, LDH plasma levels) drawn from 279 patients who, after being admitted to the San Raffaele Hospital (Milan, Italy) emergency-room with COVID-19 symptoms, were screened with the rRT-PCR test performed on respiratory tract specimens. Of these patients, 177 resulted positive, whereas 102 received a negative response. Results - We have developed two machine learning models, to discriminate between patients who are either positive or negative to the SARS-CoV-2: their accuracy ranges between 82% and 86%, and sensitivity between 92% e 95%, so comparably well with respect to the gold standard. We also developed an interpretable Decision Tree model as a simple decision aid for clinician interpreting blood tests (even off-line) for COVID-19 suspect cases. Discussion - This study demonstrated the feasibility and clinical soundness of using blood tests analysis and machine learning as an alternative to rRT-PCR for identifying COVID-19 positive patients. This is especially useful in those countries, like developing ones, suffering from shortages of rRT-PCR reagents and specialized laboratories. We made available a Web-based tool for clinical reference and evaluation. This tool is available at https://covid19-blood-ml.herokuapp.com.",2020-04-25,Davide Brinati; Andrea Campagner; Davide Ferrari; Massimo Locatelli; Giuseppe Banfi; Federico Cabitza,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.22.20075143,AI
38187,lozkrca3,e235ebc14467eed84a39695ed6a8904f121d2f6f,medrxiv,Gut microbiota may underlie the predisposition of healthy individuals to COVID-19,10.1101/2020.04.22.20076091,,,medrvix,"The COVID-19 pandemic is spreading globally with high disparity in the susceptibility of the disease severity. Identification of the key underlying factors for this disparity is highly warranted. Here we describe constructing a proteomic risk score based on 20 blood proteomic biomarkers which predict the progression to severe COVID-19. We demonstrate that in our own cohort of 990 individuals without infection, this proteomic risk score is positively associated with proinflammatory cytokines mainly among older, but not younger, individuals. We further discovered that a core set of gut microbiota could accurately predict the above proteomic biomarkers among 301 individuals using a machine learning model, and that these gut microbiota features are highly correlated with proinflammatory cytokines in another set of 366 individuals. Fecal metabolomic analysis suggested potential amino acid-related pathways linking gut microbiota to inflammation. This study suggests that gut microbiota may underlie the predisposition of normal individuals to severe COVID-19.",2020-04-25,Wanglong Gou; Yuanqing Fu; Liang Yue; Geng-dong Chen; Xue Cai; Menglei Shuai; Fengzhe Xu; Xiao Yi; Hao Chen; Yi Judy Zhu; Mian-li Xiao; Zengliang Jiang; Zelei Miao; Congmei Xiao; Bo Shen; Xiaomai Wu; Haihong Zhao; Wenhua Ling; Jun Wang; Yu-ming Chen; Tiannan Guo; Ju-Sheng Zheng,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.22.20076091,AI
38259,iro6migr,,medrxiv,A new design of an adaptive model of infectious diseases based on artificial intelligence approach: monitoring and forecasting of COVID-19 epidemic cases,10.1101/2020.04.23.20077677,,,medrvix,"Background: Mathematical infectious disease models available in literature, mostly take in their design that the parameters of basic reproduction number R_0 and interval serial S_I as constant values during tracking the outbreak cases. In this report a new intelligent model called HH-COVID-19 is proposed, with simple design and adaptive parameters. Methods: The parameters R_0 and S_I are adapted by adding three new weighting factors α, β and γ and two free parameters σ_1 and σ_2 in function of time t, thus the HH-COVID-19 become time-variant model. The parameters R_0, S_I, α, β, γ, σ_1 and σ_2 are estimated optimally based on a recent algorithm of artificial intelligence (AI), inspired from nature called Harris Hawks Optimizer (HHO), using the data of the confirmed infected cases in Algeria country in the first t=55 days. Results: Parameters estimated optimally: R_0= 1.341, S_I= 5.991, α= 2.987, β= 1.566, γ= 4.998 σ_1= -0.133 and σ_2= 0.0324. R_0 starts on 1.341 and ends to 2.677, and S_I starts on 5.991 and ends to 6.692. The estimated results are identically to the actual infected incidence in Algeria, HH-COVID-19 proved its superiority in comparison study. HH-COVID-19 predicts that in 1 May, the infected cases exceed 50 000, during May, to reach quickly the herd immunity stage at beginning of July. Conclusion: HH-COVID-19 can be used for tracking any COVID-19 outbreak cases around the world, just should updating its new parameters to fitting the area to be studied, especially when the population is directly vulnerable to COVID-19 infection.",2020-04-29,Bachir Nail; Abdelaziz Rabehi; Belkacem Bekhiti; Taha Arbaoui,,,,,False,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.23.20077677,AI
38311,zlimm3xr,8481fb8ab8a1648d7e92ae6782e1f77c9ea13c7f,medrxiv,"Contextualizing covid-19 spread: a county level analysis, urban versus rural, and implications for preparing for the next wave",10.1101/2020.04.24.20078204,,,medrvix,"Paraphrasing [Morano and Holt, 2017], contextual determinants of health including social, environmental, healthcare and others, are a so-called deck of cards one is dealt. The ability to modify health outcomes varies then based upon how one's hand is played. It is thus of great interest to understand how these determinants associate with the emerging pandemic covid-19. To this end, we conducted a deep-dive analysis into this problem using a recently curated public dataset on covid-19 that connects infection spread over time to a rich collection of contextual determinants for all counties of the U.S and Washington, D.C. Using random forest machine learning methodology, we identified a relevant constellation of contextual factors of disease spread which manifest differently for urban and rural counties. The findings also have clear implications for better preparing for the next wave of disease.",2020-04-29,J. Sunil Rao; Hang Zhang; Alejandro Mantero,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.24.20078204,AI
38312,jyvj3mo2,e0cea67d72a02457de83b3fb4bfc6cd9a3b5192c,medrxiv,Countries are Clustered but Number of Tests is not Vital to Predict Global COVID-19 Confirmed Cases: A Machine Learning Approach,10.1101/2020.04.24.20078238,,,medrvix,"COVID-19 disease is a global pandemic and it appears as pandemic for each and every nation and territory in the earth.This paper focusses on analysing the global COVID-19 data by popular machine learning techniques to know which covariates are importantly associated with the cumulative number of confirmed cases, whether the countries are clustered with respect to the covariates considered, whether the variation in the covariates are explained by any latent factor. Regression tree, cluster analysis and principal component analysis are implemented to global COVID-19 data of 133 countries obtained from the Worldometer website as reported as on April 17, 2020. Our results suggest that there are four major clusters among the countries. First cluster consists of 8 countries where cumulative infected cases and deaths are highest. It is also revealed that there are two principal components. The countries which play vital role to explain the 60\% variation of the total variations by the first component characterized by all variables except the rate variables include USA, Spain, Italy, France, Germany, UK, and Iran. Remaining countries contribute to explaining 20\% variation of the total variations by the second component characterized by only three rate variables. We also found that the number of tests by the country variable among other variables country, number of active cases, number of deaths, number of recovered patients, number of serious cases, and number of new cases is an unimportant variable to predict cumulative number of confirmed cases. Hence, the number of tests might play vital role to individual country level who are in the primary level of virus spread but not to the global level.",2020-04-29,Hasinur Rahaman Khan; Ahmed Hossain,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.24.20078238,AI
38323,i158kedv,5a5e01bd31dd7e824c8b470c0d02b6ec4f30193b,medrxiv,EXPLAINABLE-BY-DESIGN APPROACH FOR COVID-19 CLASSIFICATION VIA CT-SCAN,10.1101/2020.04.24.20078584,,,medrvix,"The COVID-19 disease has widely spread all over the world since the beginning of 2020. On January 30, 2020 the World Health Organization (WHO) declared a global health emergency. At the time of writing this paper the number of infected about 2 million people worldwide and took over 125,000 lives, the advanced public health systems of European countries as well as of USA were overwhelmed. In this paper, we propose an eXplainable Deep Learning approach to detect COVID-19 from computer tomography (CT) - Scan images. The rapid detection of any COVID-19 case is of supreme importance to ensure timely treatment. From a public health perspective, rapid patient isolation is also extremely important to curtail the rapid spread of the disease. From this point of view the proposed method offers an easy to use and understand tool to the front-line medics. It is of huge importance not only the statistical accuracy and other measures, but also the ability to understand and interpret how the decision was made. The results demonstrate that the proposed approach is able to surpass the other published results which were using standard Deep Neural Network in terms of performance. Moreover, it produces highly interpretable results which may be helpful for the early detection of the disease by specialists.",2020-04-29,Plamen Angelov; Eduardo Soares,,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.04.24.20078584,AI
